,YouTuber,Follower Number,,,,Number of Followers,Number of YouTubers
0,101rabbits,16345,,,,100,0
1,1800PetMeds,13872,,,,1000,9
2,AaronsAnimals,714827,,,,10000,25
3,AfroHerpkeeper,25063,,,,100000,31
4,"Animal Aid Unlimited, India",233652,,,,1000000,19
5,Animalist,13369,,,,10000000,4
6,Anna's Animals,613,,,,,
7,AntsCanada,52535,,,,,
8,AQUAPROS,34620,,,,,
9,Big Cat Rescue,112983,,,,,
10,Brave Wilderness,459948,,,,,
11,Brian Barczyk,425323,,,,,
12,BudgetBunny,12861,,,,,
13,Cat Man Chris,99980,,,,,
14,Catch Em All Fishing,243811,,,,,
15,CatPusic,44358,,,,,
16,Cole and Marmalade,621098,,,,,
17,Creative Pet Keeping,9360,,,,,
18,Creative Pet Vlogs,902,,,,,
19,CreekValleyCritters,986,,,,,
20,Crusoe the Dachshund,756180,,,,,
21,Curtis Lasane,834,,,,,
22,DARKDYNASTYK9S,725301,,,,,
23,Dogumentary TV,3746,,,,,
24,Dustin's Fish Tanks,29345,,,,,
25,Emzotic,88198,,,,,
26,Erin's Ark,18458,,,,,
27,ErinsAnimals,13145,,,,,
28,Flip Aquatics,12210,,,,,
29,Fluval Aquatics,8717,,,,,
30,Gabe Varns,676,,,,,
31,Gohan The Husky,105060,,,,,
32,HammyLux,11829,,,,,
33,HoppingHammy,28547,,,,,
34,Howl Of A Dog,2786,,,,,
35,Imy'sAnimals,1747,,,,,
36,iPanda,1393310,,,,,
37,Jackson Galaxy,517688,,,,,
38,JayPrehistoricPets,27184,,,,,
39,JustJesse197,8940,,,,,
40,Kamp Kenan,68459,,,,,
41,L.R.Bretz's Aquatics,4485,,,,,
42,Lennon The Bunny,14246,,,,,
43,Lifewithpets,34660,,,,,
44,Lil BUB,2348174,,,,,
45,Littlelotti's Hartland,5778,,,,,
46,Maymo,227269,,,,,
47,MercolaHealthyPets,36943,,,,,
48,michael jamison,5031,,,,,
49,Mike Tytula,6135,,,,,
50,MonkeyBoo,82824,,,,,
51,My BB Bunny,7158,,,,,
52,Nationwide Pet,9476,,,,,
53,OnceUponAPig,1004,,,,,
54,Paul Cuffaro,172620,,,,,
55,PEACHY PETPARADISE,1431,,,,,
56,Pet Adventures,1055,,,,,
57,Pet Zone,11937,,,,,
58,Petpiggies Micro Pigs,3815,,,,,
59,Pets at Home,118312,,,,,
60,Pickles12807,7819,,,,,
61,Piggie palace,1107,,,,,
62,PugPibbleHedgie,354,,,,,
63,Rachel O'leary,23219,,,,,
64,Rob The Ranger Wildlife Videos,8630,,,,,
65,Robin Seplut,7194,,,,,
66,SnakeHuntersTV,8828,,,,,
67,Solid Gold Aquatics,63830,,,,,
68,Staceyspetmice,353,,,,,
69,stacyvlogs,413894,,,,,
70,Steenfott Aquatics,3100,,,,,
71,Steff J,30976,,,,,
72,StormyRabbits,11148,,,,,
73,Sushi and Runt,8041,,,,,
74,Taylor Nicole Dean,313503,,,,,
75,The Dark Den,40321,,,,,
76,The Dodo,7202434,,,,,
77,The Dro,6212,,,,,
78,The Fish Whisperer,230826,,,,,
79,The king of DIY,153767,,,,,
80,The Lion Whisperer,1083583,,,,,
81,The Pet Care Collab,111,,,,,
82,Tyler Rugge,37716,,,,,
83,VanillaHamHam,21576,,,,,
84,Victoria Raechel,35820,,,,,
85,Wildlife Aid,8739,,,,,
86,Zak George's Dog Training rEvolution,168207,,,,,
87,Zoe Tuinman,146,,,,,
