,YouTubers,Videos
0,Brave Wilderness,543
1,Maymo,325
2,The Dodo,"5,150"
3,"Animal Aid Unlimited, India",247
4,AntsCanada,431
5,MonkeyBoo,997
6,Catch Em All Fishing,550
7,Gohan The Husky,300
8,AaronsAnimals,82
9,Taylor Nicole Dean,135
10,The king of DIY,655
11,The Lion Whisperer,243
12,Cole and Marmalade,337
13,DARKDYNASTYK9S,927
14,CatPusic,110
15,Big Cat Rescue,990
16,Howl Of A Dog,79
17,The Fish Whisperer,342
18,VanillaHamHam,76
19,JayPrehistoricPets,"1,169"
20,michael jamison,"1,180"
21,Crusoe the Dachshund,398
22,Emzotic,118
23,Rob The Ranger Wildlife Videos,"2,440"
24,Jackson Galaxy,127
25,Steff J,180
26,Kamp Kenan,714
27,Dogumentary TV,897
28,SnakeHuntersTV,234
29,The Dark Den,383
30,stacyvlogs,112
31,Wildlife Aid,567
32,Animalist,631
33,The Dro,812
34,My BB Bunny,279
35,Tyler Rugge,318
36,iPanda,"5,099"
37,JustJesse197,101
38,Lil BUB,247
39,Brian Barczyk,1061
40,Zak George's Dog Training rEvolution,330
41,Paul Cuffaro,383
42,Robin Seplut,1198
43,Solid Gold Aquatics,420
44,Cat Man Chris,88
45,Lennon The Bunny,99
46,AQUAPROS,285
47,HoppingHammy,346
48,ErinsAnimals,850
49,Victoria Raechel,315
50,101rabbits,446
51,Dustin's Fish Tanks,813
52,AfroHerpkeeper,126
53,Rachel O'leary,750
54,StormyRabbits,423
55,HammyLux,341
56,MercolaHealthyPets,585
57,Pickles12807,463
58,Erin's Ark,281
59,Flip Aquatics,420
60,Creative Pet Keeping,320
61,Mike Tytula,550
62,Fluval Aquatics,210
63,Lifewithpets,295
64,Littlelotti's Hartland,332
65,BudgetBunny,409
66,PugPibbleHedgie,272
67,Steenfott Aquatics,547
68,L.R.Bretz's Aquatics,572
69,Piggie palace,121
70,Pet Adventures,273
71,OnceUponAPig,171
72,Petpiggies Micro Pigs,142
73,Anna's Animals,190
74,Curtis Lasane,306
75,Sushi and Runt,315
76,Gabe Varns,100
77,Zoe Tuinman,271
78,Creative Pet Vlogs,89
79,Pet Zone,1295
80,Staceyspetmice,179
81,1800PetMeds,142
82,Nationwide Pet,68
83,The Pet Care Collab,227
84,CreekValleyCritters,304
85,Pets at Home,209
86,PEACHY PETPARADISE,351
87,Imy'sAnimals,101
