The length of text discprition,Number of each length
0,2
1,3
2,1
3,28
4,53
5,22
6,20
7,21
8,23
9,21
10,33
11,20
12,32
13,29
14,23
15,45
16,27
17,32
18,28
19,33
20,60
21,52
22,36
23,39
24,36
25,36
26,51
27,56
28,57
29,36
30,31
31,32
32,33
33,36
34,37
35,34
36,26
37,19
38,34
39,25
40,37
41,28
42,27
43,39
44,46
45,26
46,60
47,37
48,36
49,48
50,30
51,33
52,40
53,41
54,43
55,40
56,31
57,46
58,50
59,28
60,33
61,39
62,22
63,38
64,32
65,27
66,89
67,21
68,44
69,41
70,39
71,67
72,33
73,41
74,38
75,34
76,29
77,45
78,31
79,22
80,29
81,29
82,25
83,35
84,25
85,33
86,34
87,31
88,33
89,28
90,36
91,28
92,21
93,31
94,22
95,21
96,24
97,24
98,30
99,19
100,23
101,19
102,24
103,25
104,22
105,13
106,19
107,16
108,10
109,18
110,15
111,14
112,17
113,13
114,13
115,14
116,13
117,11
118,8
119,13
120,11
121,5
122,11
123,12
124,20
125,10
126,9
127,19
128,11
129,8
130,11
131,6
132,11
133,8
134,7
135,4
136,10
137,7
138,9
139,11
140,2
141,5
142,11
143,6
144,2
145,4
146,5
147,3
148,3
149,9
150,2
151,4
152,3
153,6
154,3
155,8
156,8
157,3
158,6
159,2
160,2
161,4
162,2
164,7
165,1
166,7
167,5
168,1
169,5
170,4
171,1
172,4
173,3
174,2
175,4
176,2
177,3
178,2
179,2
181,3
182,4
183,1
184,2
185,3
186,1
187,1
188,2
190,2
191,3
192,2
194,4
195,1
197,2
198,1
199,1
200,4
201,2
202,2
203,2
204,5
205,1
207,3
208,1
210,4
211,7
212,3
213,1
214,2
216,1
217,2
218,3
219,2
220,5
221,1
222,1
223,5
224,3
225,3
226,4
227,8
228,4
229,3
230,1
231,8
232,5
233,2
234,3
235,9
236,3
237,1
238,5
239,6
240,2
241,1
242,4
243,6
244,1
245,1
246,1
248,1
250,2
251,5
252,3
253,1
256,2
257,2
258,4
259,2
260,2
261,1
262,2
265,1
266,1
267,1
268,1
269,1
270,2
273,1
276,2
278,2
279,1
280,1
281,3
284,3
285,1
289,2
298,1
301,1
302,1
303,1
304,2
305,2
308,1
315,3
319,2
320,1
321,1
322,1
325,2
327,1
328,1
333,1
336,1
337,1
342,1
354,1
376,1
385,1
407,1
